CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,Location Type,AES,Agro-ecological zone (AEZ),SLO,Activity location type,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s)
3.6,4.2.3,,4.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Integrated pest management,,,,,,,,,,,,,,,,,,,,,
3.6,4.2.4,,4.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Extension,,,,,,,,,,,,,,,,,,,,,
3.6,4.2.5,,4.2,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Fertilizers,,,,,,,,,,,,,,,,,,,,,
3.6,5.1.1,,5.1,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Research,,,,,,,,,,,,,,,,,,,,,
3.6,5.2.1,,5.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Monitoring and Evaluation,,,,,,,,,,,,,,,,,,,,,
3.6,5.2.2,,5.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Administration,,,,,,,,,,,,,,,,,,,,,
3.6,5.2.3,,5.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Storage & Processing,,,,,,,,,,,,,,,,,,,,,
3.6,5.2.4,,5.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Infrastructure,,,,,,,,,,,,,,,,,,,,,
3.6,5.2.5,,5.2,,,,,,finger millet,Education policy|Seed technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Public sector support,,,,,,,,,,,,,,,,,,,,,
3.6,5.2.6,,5.2,,,,,,finger millet,Economic and policy technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Policy,,,,,,,,,,,,,,,,,,,,,
3.6,5.2.7,,5.2,,,,,,finger millet,Economic and policy technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Marketing & Commodities,,,,,,,,,,,,,,,,,,,,,
3.6,5.3.1,,5.3,,,,,,barley,Economic and policy technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Extension,,,,,,,,,,,,,,,,,,,,,
3.6,5.3.2,,5.3,,,,,,barley,Climate information and advisory service,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
3.6,5.3.3,,5.3,,,,,,barley,Education technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Root crop, Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum, Coastal artisanal fishing",Training,,,,,,,,,,,,,,,,,,,,,
3.6,6.1.1,,6.1,,,,,,barley,Postharvest technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Post harvest management,,,,,,,,,,,,,,,,,,,,,
3.6,6.1.2,,6.1,,,,,,barley,Education technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Economics & Policy ,,,,,,,,,,,,,,,,,,,,,
3.6,6.1.3,,6.1,,,,,,barley,Economic and policy technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Infrastructure,,,,,,,,,,,,,,,,,,,,,
3.6,6.1.4,,6.1,,,,,,barley,Food technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Storage & Processing,,,,,,,,,,,,,,,,,,,,,
3.6,6.2.1,,6.2,,,,,,barley,Food technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Storage & Processing,,,,,,,,,,,,,,,,,,,,,
3.6,6.2.2,,6.2,,,,,,barley,Economic and policy technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Policy,,,,,,,,,,,,,,,,,,,,,
3.6,6.2.3,,6.2,,,,,,barley,Econonmic and policy technology|Education technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,6.2.4,,6.2,,,,,,finger millet,Information and communication technology|Food technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Storage & Processing,,,,,,,,,,,,,,,,,,,,,
3.6,6.2.5,,6.2,,,,,,finger millet,Economic and policy technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Policy,,,,,,,,,,,,,,,,,,,,,
3.6,6.2.6,,6.2,,,,,,finger millet,Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,6.3.1,,6.3,,,,,,barley,Economic and policy technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Economics & Policy ,,,,,,,,,,,,,,,,,,,,,
3.6,6.3.2,,6.3,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Marketing & Commodities,,,,,,,,,,,,,,,,,,,,,
3.6,6.3.3,,6.3,,,,,,barley,Education technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Economics & Policy ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
