Organization,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),,,,,,,,,,,,,,,
ASARECA,3.1.3.2,,1.3,,,,,,cattle|goats|sheep,Disease control technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal nutrition & Feeds,,,,,,,,,,,,,,,,,,
ASARECA,3.1.3.3,,1.3,,,,,,cattle|goats|sheep,Breeding technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal diseases and Control,,,,,,,,,,,,,,,,,,
ASARECA,3.1.3.7,,1.3,,,,,,cattle|goats|sheep,Animal health and disease control,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal diseases and Control,,,,,,,,,,,,,,,,,,
ASARECA,3.1.5.4,,1.5,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish production,,,,,,,,,,,,,,,,,,
ASARECA,3.2.3.2,,2.3,,,,,,cattle|goats|sheep,Economic and policy technology|Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal production,,,,,,,,,,,,,,,,,,
ASARECA,3.3.1.1,,3.1,,,,,,cattle|goats|sheep,Economic and policy technology|Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal production,,,,,,,,,,,,,,,,,,
ASARECA,3.3.1.2,,3.1,,,,,,cattle|goats|sheep,Postharvest technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal production,,,,,,,,,,,,,,,,,,
ASARECA,3.3.1.3,,3.1,,,,,,cattle|goats|sheep,Postharvest technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal production,,,,,,,,,,,,,,,,,,
ASARECA,3.1.5.1,,1.5,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish production,,,,,,,,,,,,,,,,,,
ASARECA,3.1.5.2,,1.5,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish production,,,,,,,,,,,,,,,,,,
