adm2_code,count,gids
4490,2,13410|13448
4792,2,13739|13743
15426,2,36912|36914
22599,2,5966|5976
22602,2,6041|6023
22636,2,6056|6052
22802,2,5578|5655
22895,2,5657|5651
22930,2,5928|5919
22989,2,5870|5890
23049,2,5768|5771
23074,2,6071|6039
23118,2,5658|5547
23695,2,10216|36887
70123,2,28920|29199
70166,2,28962|29298
